"/*
 *
 *
 *  Licensed to the Apache Software Foundation (ASF) under one or more
 *
 *  contributor license agreements. See the NOTICE file distributed with
 *
 *  this work for additional information regarding copyright ownership.
 *
 *  The ASF licenses this file to You under the Apache License, Version 2.0
 *
 *  (the ""License""); you may not use this file except in compliance with
 *
 *  the License. You may obtain a copy of the License at
 *
 *
 *
 *  http://www.apache.org/licenses/LICENSE-2.0
 *
 *
 *
 *  Unless required by applicable law or agreed to in writing, software
 *
 *  distributed under the License is distributed on an ""AS IS"" BASIS,
 *
 *  WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 *
 *  See the License for the specific language governing permissions and
 *
 *  limitations under the License.
 *
 * /
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
kylin,Identifier
.,Punctuation
engine,Identifier
.,Punctuation
streaming,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
kylin,Identifier
.,Punctuation
common,Identifier
.,Punctuation
util,Identifier
.,Punctuation
StreamingBatch,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
kylin,Identifier
.,Punctuation
metadata,Identifier
.,Punctuation
realization,Identifier
.,Punctuation
RealizationType,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
interface,Keyword
 ,Whitespace
IStreamingInput,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
StreamingBatch,Identifier
 ,Whitespace
getBatchWithTimeWindow,Identifier
(,Punctuation
RealizationType,Identifier
 ,Whitespace
realizationType,Identifier
",",Punctuation
 ,Whitespace
String,Identifier
 ,Whitespace
realizationName,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
id,Identifier
",",Punctuation
 ,Whitespace
long,Keyword
 ,Whitespace
startTime,Identifier
",",Punctuation
 ,Whitespace
long,Keyword
 ,Whitespace
endTime,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
},Punctuation
"
",Newline
